Velocity_m_s,Y,U_magnitude,U_x,U_y,U_z,p,k,epsilon,nut
5.0,-0.014263276299500003,3.2971821870564075,3.294544756096203,-0.1289783355688858,0.027382725849747658,-7.8173493758089725,3.7652913348344397,492.717634618939,0.0030794529641472003
5.0,-0.013319648166600001,3.024949898834406,3.022932491911732,-0.10652038146752221,0.02923094481229782,-8.054424809095133,3.5737820992723917,447.659455437908,0.0030309208642106205
5.0,-0.0123892425478,3.076652780913821,3.0745734320740703,-0.1089293092423177,0.030413001775741577,-8.101626734864478,3.6020529284409677,459.8865373186186,0.0030271892017612054
5.0,-0.011470688600299999,3.2278714104564568,3.225460489673699,-0.12076960694970747,0.031195737421512604,-8.143399969031647,3.737043176248422,497.1208968404059,0.003056170879292602
5.0,-0.010562757603599997,3.3896937384538726,3.3869690508276546,-0.13241925612776076,0.03048655204474926,-8.146726200354536,3.861901920286649,536.2217168840709,0.003065862235652576
5.0,-0.009664348224399998,3.5551927963365,3.552199490304406,-0.14288635936741523,0.02929314784705639,-8.097749030843108,3.956474195703442,570.7251035375956,0.0030534589385593433
5.0,-0.008774473310499999,3.7258090923553078,3.722541677285573,-0.15360474593060466,0.02724767103791237,-7.996587875727895,4.032483144555202,601.6190921229856,0.0030335664625436697
5.0,-0.00789224805186,3.9943960981060003,3.9908101347955336,-0.16736986414569555,0.024939630180597305,-7.834027546293709,4.091138477296815,642.3268244719336,0.002971840322640775
5.0,-0.0070168793716299995,4.736955463839449,4.732874274159628,-0.19484014948693212,0.026181817054748535,-7.318409975988499,4.041472541138251,719.2116285674476,0.0026772878707001114
5.0,0.01296221430742,7.6748302204554495,7.673839589883139,-0.12328195278859196,-0.002534102415665984,-6.108667871280839,0.4689833206394214,-15.576796761021626,0.0007267467669112491
5.0,0.013749135752619998,7.774668189075148,7.77367263012362,-0.12440410094620102,-0.001705740811303258,-6.344782341058309,0.4307022038344861,-31.206410247990277,0.0006829577583402152
5.0,0.014491974147600001,7.788245002163913,7.78724917085689,-0.12452903752451608,-0.001755999168381095,-6.373978894784683,0.41888061834751644,-36.31936163194996,0.0006794767335762963
5.0,0.015196183525900001,7.767135832636323,7.766151557218123,-0.12363164982440542,-0.002061092760413885,-6.339036775970389,0.42269713943737774,-34.51716453578297,0.0006894797040925475
5.0,0.0158666269146,7.742229437145969,7.741265203711045,-0.12216622629782672,-0.0022619403898715973,-6.3084848123636075,0.42888947630749796,-29.316845777312665,0.0007001933187898632
5.0,0.0165076485459,7.683491071914541,7.682586052568286,-0.11789645323587272,-0.0026501675602048635,-6.305549736441516,0.44604559283806,-6.429266348847477,0.0007059810102716447
5.0,0.0171231375913,7.242599973971931,7.241853222622461,-0.10398216258043047,-0.0019987085834145546,-6.185842549775017,0.6539844650913937,222.4349908097008,0.000649595726272652
5.0,0.0177165844685,6.052730428596636,6.052163618151677,-0.07949544465220512,-0.023273475468158722,-5.755052105630792,1.2968797301607276,1122.2988585239584,0.0004245105967157659
5.0,0.0181923320103,5.711772395847164,5.7109619789599355,-0.0599570573277422,-0.07524844259023666,-6.2558654783209535,1.3307739871209014,2216.371089893546,1.667703298256556e-05
8.0,-0.014263276299500003,3.170891777859664,3.1452037805618116,-0.4023791324897431,-0.018408676609396935,-0.6077364602711899,5.07721691081324,530.9612922228102,0.004393833865459283
8.0,-0.013319648166600001,2.7550885211469933,2.729734889505563,-0.3724240560212442,-0.018987229093909264,-0.8950507390452996,4.973513905091504,506.6314829415941,0.0043722462435559105
8.0,-0.0123892425478,2.8480479719409675,2.8228141842501855,-0.37786539357682325,-0.01775038056075573,-0.9984307431524326,5.010593787380076,518.0187451924069,0.004366727141232623
8.0,-0.011470688600299999,3.1036720884283717,3.0779617320679606,-0.3982865313522023,-0.017316101118922234,-0.9918143636520995,5.125722562471684,545.438573990941,0.004391527881677893
8.0,-0.010562757603599997,3.3573339046631334,3.3313623700510555,-0.41647369153296454,-0.01629021391272545,-0.9884784944858009,5.212997769657478,570.6652055109512,0.004404636944834528
8.0,-0.009664348224399998,3.620687882126916,3.59496000155767,-0.43065218972537966,-0.013491421937942505,-1.021688739853353,5.25733162564624,590.229676869232,0.0043834348893511945
8.0,-0.008774473310499999,3.8773301018903394,3.8521707751036427,-0.4408920204036742,-0.009124955162405968,-1.0912846355387287,5.259206135616687,603.7442396602821,0.004324799134549811
8.0,-0.00789224805186,4.220693102633566,4.1969555853028435,-0.4469981953302786,0.0025874669663608074,-1.1795779988591393,5.166750189717628,604.5988481931391,0.004169195766604983
8.0,-0.0070168793716299995,4.8395928201239355,4.819510972727937,-0.4398602500058146,0.022262273356318474,-1.0927375551244818,4.729881119677888,572.77182237466,0.003730853186700276
8.0,0.01296221430742,8.300725779670056,8.297272443918303,-0.23855149108100765,-0.02028908021748066,-0.10609793539013301,0.4724121951914848,64.70226843979842,0.0006151862647806091
8.0,0.013749135752619998,8.513980071596835,8.510229627116402,-0.25244151410495363,-0.011028837412595749,-0.5053180954971328,0.49693819132855954,55.45234417741605,0.0006368635464866176
8.0,0.014491974147600001,8.529981964909071,8.526253786681366,-0.25186089545436974,-0.012440904974937439,-0.45750728134021745,0.4751525784480184,50.83603860287673,0.0006214658656474713
8.0,0.015196183525900001,8.477154301039542,8.473584151249643,-0.2455609098781789,-0.014714444056153297,-0.40686382273110056,0.45077843436618736,50.899782338222394,0.0006044967479845458
8.0,0.0158666269146,8.414221043167952,8.410819394976478,-0.23874276864565175,-0.015321840532124043,-0.3781306494637551,0.43061458509649064,55.76862773357678,0.0005860677072676045
8.0,0.0165076485459,8.231539766596503,8.22833381409858,-0.22884342185977657,-0.02000652626156807,-0.23591004826702489,0.43332371971220063,83.92184357524923,0.0005658401045685207
8.0,0.0171231375913,7.3527938577569625,7.350418137574522,-0.18293482393089247,-0.03828273341059685,0.03561221270994319,0.5968277395526727,267.54912022663893,0.0006123154925362618
8.0,0.0177165844685,5.574581829041797,5.573591332290029,-0.08587699302198312,-0.060558825731277466,-0.5656210826629996,0.9572875513549398,960.8209652659818,0.0003436020396041426
8.0,0.0181923320103,5.255546033530304,5.253784734243962,-0.07245737403806042,-0.11515209823846817,-1.4806454581402537,1.0993541866325445,1843.0501204302977,0.00014418263831643126
10.0,-0.014263276299500003,2.789278283630375,2.7444040694590206,-0.4903216741772854,-0.08890614658594131,4.556358552928944,4.711110694277593,436.22950433568144,0.0048260715786717975
10.0,-0.013319648166600001,2.4243693508772575,2.379552042820688,-0.45662134266702065,-0.08243648707866669,4.566138378226293,4.593040666398406,420.1895433364807,0.004784060058614604
10.0,-0.0123892425478,2.497474887358241,2.452939518312643,-0.4618357700316427,-0.08471277356147766,4.41861449492638,4.613122717755359,426.97174017293514,0.004767142551436548
10.0,-0.011470688600299999,2.721804068927507,2.677055285625236,-0.4833719057181715,-0.08912905305624008,4.280446371813816,4.707920269321356,440.64705061803886,0.0047941731770276734
10.0,-0.010562757603599997,2.986911956735795,2.942550812492952,-0.5054708776295516,-0.08681558072566986,4.218231036706639,4.7948010900664295,450.3294612022039,0.004810585116091195
10.0,-0.009664348224399998,3.260892923876926,3.217507369617718,-0.5239234949460458,-0.081075020134449,4.194906515379261,4.837052316052071,457.0983836619058,0.004805120648685726
10.0,-0.008774473310499999,3.5314117147358766,3.489100912569444,-0.5402169411563549,-0.07217463105916977,4.192899023117955,4.84647755969079,461.0535243057505,0.00477724766973665
10.0,-0.00789224805186,3.946499429543774,3.9066862754574103,-0.5565648105695726,-0.05381174758076668,4.190484860878656,4.771185899901593,457.42822371244586,0.00466158301209189
10.0,-0.0070168793716299995,4.786834363285872,4.75316280231442,-0.5667261918613581,-0.006929623894393444,4.247049128777192,4.381490023136424,428.4324413060891,0.004233981852155175
10.0,0.01296221430742,7.475816394670358,7.471611496544426,-0.24690056446659106,-0.043503135442733765,4.119890713808718,0.529595573982673,86.53474279257583,0.000625407092031665
10.0,0.013749135752619998,7.5766463109722695,7.572051761184644,-0.2600243758906814,-0.04459564387798309,4.149028500197231,0.54507610979875,81.01861562342137,0.0006577898907596696
10.0,0.014491974147600001,7.5957339295999695,7.591207229275822,-0.25842238180954313,-0.04432385414838791,4.140798722203283,0.5319459619473599,80.44498139849495,0.0006451015164702439
10.0,0.015196183525900001,7.57130991793179,7.566948888030815,-0.25328650549370224,-0.04317806661128998,4.105495066726473,0.5235120967567286,81.72150426628025,0.0006281168863931518
10.0,0.0158666269146,7.541937259033586,7.537731122038723,-0.2482827477720957,-0.042223550379276276,4.089058547535018,0.5149756012261377,84.1477900976706,0.0006097925300812465
10.0,0.0165076485459,7.379941159394355,7.375935664071277,-0.23877596137743823,-0.04572347179055214,4.233278766169781,0.508599653061244,98.66084141121189,0.0005963303887682042
10.0,0.0171231375913,6.585733602650142,6.582342000192965,-0.2015347922386993,-0.06359720975160599,4.869356685343507,0.5329826815605638,199.72971876129012,0.0005628873799474444
10.0,0.0177165844685,5.312664059550933,5.31016521584347,-0.14764637841655454,-0.0688864067196846,5.696157182531453,0.5461239604637507,619.1926445411108,0.000289001463733131
10.0,0.0181923320103,4.582885927051451,4.580632419298162,-0.11122356621029945,-0.09099108725786209,3.5714381863555307,0.6349474050466863,1480.3324974229465,-4.0362016345547695e-05
12.0,-0.014263276299500003,3.0572415971989697,3.0227545186342115,-0.4486336701863071,-0.09170132875442505,8.347014983044382,3.9373620776489133,282.172523149103,0.004736637145072111
12.0,-0.013319648166600001,2.6434358750108093,2.6134524502706324,-0.3904786485994043,-0.0717352107167244,8.453662186683523,3.805487911626064,268.5692891175372,0.004627368089932226
12.0,-0.0123892425478,2.6991495557198806,2.6685942609562217,-0.39767613412779773,-0.07659430056810379,8.349643058393491,3.8190312359505647,271.3151121379808,0.004627534141057456
12.0,-0.011470688600299999,2.922262331897681,2.8881036324820575,-0.4358930492807046,-0.09204234927892685,8.240535148783465,3.930884418221731,282.995680670681,0.004716759010722364
12.0,-0.010562757603599997,3.194047260396157,3.1574481961754968,-0.4717825761547991,-0.09939814358949661,8.147131752404507,4.011012877435651,295.6000359479726,0.004762055845462859
12.0,-0.009664348224399998,3.530893415625887,3.4931924744557232,-0.5050945916736994,-0.09845863282680511,8.065007923785092,4.049828999565013,305.1834798542832,0.004766166537654646
12.0,-0.008774473310499999,3.9718152768050525,3.9341195675828864,-0.5394785003004493,-0.08356296271085739,7.99468739744023,4.052328482351929,309.2545745547895,0.004715985341261101
12.0,-0.00789224805186,4.531817126906633,4.494823892145912,-0.5750137341568533,-0.05730493739247322,7.926585925772971,3.9772833396181184,303.1478749668825,0.004583205905360015
12.0,-0.0070168793716299995,5.4349505531362325,5.399689573387807,-0.6180701462154892,-0.005414835177361965,7.905656290998073,3.660072055194573,260.8360978898447,0.00418092861520669
12.0,0.01296221430742,7.0346934466183555,7.02804422333448,-0.3008762669979933,-0.05458712950348854,7.878912921023338,0.5031099000109467,94.01279017951697,0.0005501886640485742
12.0,0.013749135752619998,7.085787109064099,7.078246059904408,-0.3236252844198323,-0.04558887705206871,7.979339249345945,0.5653010266737162,86.22744245558212,0.0006515869739024611
12.0,0.014491974147600001,7.088219162075271,7.080760540281618,-0.3217384326527346,-0.046534307301044464,8.056579277119825,0.5507081156486133,83.79788999904014,0.0006310623914000876
12.0,0.015196183525900001,7.071194993349476,7.0641628302225685,-0.31095894474758967,-0.05202573165297508,8.083478733143917,0.5145606887174254,86.38726951527482,0.0005730144497770281
12.0,0.0158666269146,7.062302957146107,7.055589964422872,-0.3027212339090541,-0.055974699556827545,8.14549096833145,0.4783072614948167,87.54545146279344,0.0005218523614839189
12.0,0.0165076485459,6.977917689989965,6.971496253563453,-0.2937725649154591,-0.057209745049476624,8.259253251100006,0.4556670084997263,96.25247747326719,0.00048766914708906015
12.0,0.0171231375913,6.598138602485297,6.592453654071116,-0.26911614300387965,-0.05063929408788681,8.158299427152764,0.47592521641034113,165.09683269294663,0.0004583501965024824
12.0,0.0177165844685,5.872572776954307,5.866968351575269,-0.2564547932548178,0.004931658506393433,8.762635461662715,0.41009015102042845,419.49443520080115,0.00029325049934182494
12.0,0.0181923320103,4.537793882686772,4.533287029519152,-0.19786215371059046,-0.041624486446380615,7.334784729359259,0.4002505054717036,1145.4658234926667,-8.469591065947651e-05
15.0,-0.014263276299500003,3.3470590680143353,3.3290324275394703,-0.3460925279112939,-0.02382148802280426,10.27284603221443,3.1513222268432397,167.27636953901805,0.004468310819557683
15.0,-0.013319648166600001,2.8481019148409037,2.8360979929805383,-0.26111749099779724,-0.007095592096447945,10.482142379963406,3.0051559945530197,163.1215564327785,0.004286442690494732
15.0,-0.0123892425478,2.9631315661572555,2.9506332792478958,-0.2717104794650791,-0.009238241240382195,10.372929159283935,3.0074262185208225,164.28964961797317,0.00428940234204289
15.0,-0.011470688600299999,3.2848748017867413,3.2689287607778685,-0.3226414986143256,-0.020240645855665207,10.233048791015475,3.093781531077406,167.27716392286175,0.004397085423568361
15.0,-0.010562757603599997,3.6380152004721187,3.6173837835601477,-0.3857579779458544,-0.029663845896720886,10.212687083793659,3.1958267249196366,166.5475112262035,0.004505278561076617
15.0,-0.009664348224399998,4.024838703816092,3.9988389907476183,-0.4556325415227652,-0.031816739588975906,10.295895992539325,3.2940974710054016,168.38589362007315,0.00459752337582399
15.0,-0.008774473310499999,4.424098711904947,4.3929999582128385,-0.5230899659784579,-0.024034710600972176,10.375703917908343,3.3584543531406723,171.0855662800646,0.004645466491834007
15.0,-0.00789224805186,4.971961564418174,4.936385501340029,-0.5937018690699951,-0.004250985104590654,10.373954061656217,3.3466074419578717,170.36501558894255,0.004596911074495001
15.0,-0.0070168793716299995,6.033662191939326,5.993250755515726,-0.6950258089631407,0.05444219708442688,10.213665912573058,3.1614701718908087,148.23550107180688,0.004262275715096167
15.0,0.01296221430742,7.993506238084529,7.971254575447605,-0.5956528019558353,0.020981211215257645,10.616618033703535,0.520623741995119,39.05195563761873,0.0005766835747580109
15.0,0.013749135752619998,8.04464498349684,8.019932941311325,-0.6290478755509057,0.03587893024086952,10.824093064117546,0.5834298337397164,24.701047717968606,0.000709099493330891
15.0,0.014491974147600001,8.061935530239266,8.037076727847575,-0.6315438198765848,0.036804456263780594,10.915480505738547,0.5734716271713964,21.874229098097146,0.000699753312576711
15.0,0.015196183525900001,8.066309057222012,8.042154558313449,-0.6229286200786458,0.03243148326873779,10.935094692422782,0.5427441033874887,24.66772814142172,0.0006454157648100583
15.0,0.0158666269146,8.053411639948852,8.030128232904595,-0.6113193308225504,0.027717888355255127,10.871150187166405,0.5170721195140691,29.39150568345042,0.0005936891807410514
15.0,0.0165076485459,7.973177908068201,7.951682863843975,-0.5847639254460891,0.018887510523200035,10.325362405881153,0.5242037537642377,46.623057296493585,0.0005600270468748946
15.0,0.0171231375913,7.643042162438247,7.625567985349054,-0.5164617891728956,0.00858009047806263,8.59768071581475,0.5988289801220146,126.08741133619523,0.000550860185725986
15.0,0.0177165844685,7.121612337404016,7.104946549491022,-0.4830120212755246,0.06161331385374069,7.723128700713787,0.6378450527047499,309.2156608826704,0.0005486085441753559
15.0,0.0181923320103,6.177847659915931,6.16288293366673,-0.4217559276329667,0.08244751393795013,7.452872288194329,0.6108714506093151,820.2463845329873,0.00026915493958583727
20.0,-0.014263276299500003,4.074801388637058,4.068214165676342,0.1709945901721659,-0.15620726346969604,5.797333382085158,1.7468414445768823,160.35793216129542,0.0025291831452259905
20.0,-0.013319648166600001,3.6949558758528838,3.682589107811115,0.2456554304554482,-0.17575493454933167,6.049572669094072,1.6600741195526758,150.4718326506286,0.002393621572478484
20.0,-0.0123892425478,3.7585110778654647,3.7474326503176147,0.23093493680392818,-0.17269368469715118,5.971539987467136,1.6787279058588185,152.81318622807598,0.0024201008244302243
20.0,-0.011470688600299999,4.0002655426032945,3.992925877228573,0.1807971036440238,-0.16118237376213074,5.838155995795098,1.7400148866712244,159.9954555558311,0.0025176780071567667
20.0,-0.010562757603599997,4.318990826712543,4.314639320965356,0.12579551018282215,-0.14746111631393433,5.674741894476479,1.7985436100811354,167.53185674661768,0.0026207449259382683
20.0,-0.009664348224399998,4.630262502654666,4.627693769075172,0.07049257280389573,-0.1371569186449051,5.522051656970595,1.8562217973135988,173.80875121699984,0.0027232996423652137
20.0,-0.008774473310499999,4.994148307470047,4.992731275719091,0.0024274621177167166,-0.11893625557422638,5.423984014520345,1.9062736950342303,174.95031792113343,0.0028406926170977767
20.0,-0.00789224805186,5.582576487411853,5.580964891910729,-0.09875020270982778,-0.09077174961566925,5.312828650859268,1.93609983339203,171.3892659052434,0.0029387025864233305
20.0,-0.0070168793716299995,6.576450853700536,6.571097225467977,-0.2626658921179142,-0.03733247518539429,5.096433678835478,1.9419822113175111,165.40419242312493,0.0029023423656780773
20.0,0.01296221430742,9.528299549291939,9.500224461424875,-0.7264439919056038,0.08066356182098389,5.860529426526547,0.9031161943320192,97.42335471398883,0.0010465421606632836
20.0,0.013749135752619998,9.488518042023845,9.461320767249903,-0.7124169704983707,0.08857783675193787,5.691375871923144,0.9716761718376655,95.66311890272442,0.001160945385861712
20.0,0.014491974147600001,9.490297696133476,9.462970180794574,-0.7142028377420138,0.08865678310394287,5.733167911638427,0.9705835416661254,94.4343778519301,0.0011603574751210344
20.0,0.015196183525900001,9.513928571155805,9.486207607022767,-0.7208259992088273,0.08433251082897186,5.825961067981044,0.9432173402254421,93.41817531213925,0.0011139218438122422
20.0,0.0158666269146,9.514981111500138,9.487028666801711,-0.7242534410448149,0.0812993273139,5.865974102844622,0.9196324796237583,95.08742076463398,0.0010694985823827374
20.0,0.0165076485459,9.44173320505515,9.414803609670175,-0.7073284010264032,0.08651843667030334,5.537806945181574,0.9235772120487631,106.1535589147432,0.0010537674822013632
20.0,0.0171231375913,9.321028819614915,9.296787876042561,-0.6614250048170995,0.11760275065898895,4.604902724695017,0.9667213219920532,140.26918231447044,0.0010981193767694666
20.0,0.0177165844685,9.232146510619474,9.20715450378742,-0.6571088313998636,0.17042042315006256,4.401379210078728,0.9905863481038656,200.33406668679015,0.0011456205353192659
20.0,0.0181923320103,8.810930059076444,8.785235540218403,-0.6454868682472004,0.18833935260772705,4.220689391984009,1.097820807657755,345.6585876596189,0.0011714312412453684
